6344,-80.38195,1.301919071E9,776110,776759
776662,25.865671,-80.386856,1.301919071E9,776110,776759
776662,25.865803,-80.38686,1.301919071E9,776110,776759
776662,25.86592,-80.38686,1.301919071E9,776110,776759
776662,25.866058,-80.38687,1.301919071E9,776110,776759
776662,25.866165,-80.38687,1.301919071E9,776110,776759
776662,25.866283,-80.38688,1.301919071E9,776110,776759
776662,25.866407,-80.38688,1.301919071E9,776110,776759
776662,25.866524,-80.38688,1.301919071E9,776110,776759
776662,25.866636,-80.38689,1.301919071E9,776110,776759
776662,25.86675,-80.38689,1.301919071E9,776110,776759
776662,25.866879,-80.38689,1.301919071E9,776110,776759
776662,25.867002,-80.38689,1.301919071E9,776110,776759
776662,25.86712,-80.386894,1.301919071E9,776110,776759
776662,25.867262,-80.386894,1.301919071E9,776110,776759
776662,25.867403,-80.386894,1.301919071E9,776110,776759
776662,25.867538,-80.3869,1.301919071E9,776110,776759
776662,25.867666,-80.3869,1.301919071E9,776110,776759
776662,25.867771,-80.3869,1.301919071E9,776110,776759
776662,25.867903,-80.3869,1.301919071E9,776110,776759
776662,25.86803,-80.3869,1.301919071E9,776110,776759
776662,25.868166,-80.3869,1.301919071E9,776110,776759
776662,25.86829,-80.3869,1.301919071E9,776110,776759
776662,25.868433,-80.38689,1.301919071E9,776110,776759
776662,25.868555,-80.38686,1.301919071E9,776110,776759
776662,25.868692,-80.38682,1.301919071E9,776110,776759
776662,25.868813,-80.38675,1.301919071E9,776110,776759
776662,25.868921,-80.38668,1.301919071E9,776110,776759
776662,25.869007,-80.386604,1.301919071E9,776110,776759
776662,25.869106,-80.38651,1.301919071E9,776110,776759
776662,25.869205,-80.38638,1.301919071E9,776110,776759
776662,25.869287,-80.38625,1.301919071E9,776110,776759
776662,25.869354,-80.38612,1.301919071E9,776110,776759
776662,25.869415,-80.38598,1.301919071E9,776110,776759
776662,25.869467,-80.38583,1.301919071E9,776110,776759
776662,25.869495,-80.385704,1.301919071E9,776110,776759
776662,25.869514,-80.38557,1.301919071E9,776110,776759
776662,25.869524,-80.38544,1.301919071E9,776110,776759
776662,25.869528,-80.38531,1.301919071E9,776110,776759
776662,25.86953,-80.38519,1.301919071E9,776110,776759
776662,25.869532,-80.385056,1.301919071E9,776110,7767
