776662,25.765991,-80.133446,1.301919071E9,776110,776759
776662,25.765879,-80.13342,1.301919071E9,776110,776759
776662,25.7658,-80.133354,1.301919071E9,776110,776759
776662,25.76578,-80.13323,1.301919071E9,776110,776759
776662,25.7658,-80.13311,1.301919071E9,776110,776759
776662,25.765823,-80.132996,1.301919071E9,776110,776759
776662,25.76586,-80.132866,1.301919071E9,776110,776759
776662,25.765884,-80.13277,1.301919071E9,776110,776759
776662,25.765902,-80.132645,1.301919071E9,776110,776759
776662,25.765875,-80.13254,1.301919071E9,776110,776759
776662,25.765787,-80.13249,1.301919071E9,776110,776759
776662,25.765678,-80.13247,1.301919071E9,776110,776759
776662,25.765587,-80.13246,1.301919071E9,776110,776759
776662,25.765478,-80.13247,1.301919071E9,776110,776759
776662,25.765371,-80.1325,1.301919071E9,776110,776759
776662,25.765257,-80.132484,1.301919071E9,776110,776759
776662,25.76517,-80.13242,1.301919071E9,776110,776759
776662,25.76513,-80.132324,1.301919071E9,776110,776759
776662,25.765133,-80.13222,1.301919071E9,776110,776759
776662,25.765158,-80.13211,1.301919071E9,776110,776759
776662,25.765196,-80.13201,1.301919071E9,776110,776759
776662,25.765272,-80.13194,1.301919071E9,776110,776759
776662,25.765375,-80.13189,1.301919071E9,776110,776759
776662,25.765451,-80.13181,1.301919071E9,776110,776759
776662,25.765482,-80.131714,1.301919071E9,776110,776759
776662,25.765436,-80.1316,1.301919071E9,776110,776759
776662,25.765352,-80.13154,1.301919071E9,776110,776759
776662,25.76525,-80.13148,1.301919071E9,776110,776759
776662,25.765162,-80.1314,1.301919071E9,776110,776759
776662,25.765081,-80.13134,1.301919071E9,776110,776759
776662,25.765,-80.131256,1.301919071E9,776110,776759
776662,25.764906,-80.131195,1.301919071E9,776110,776759
776662,25.764807,-80.13114,1.301919071E9,776110,776759
776662,25.7647,-80.13113,1.301919071E9,776110,776759
776662,25.76459,-80.13117,1.301919071E9,776110,776759
776662,25.764511,-80.131256,1.301919071E9,776110,776759
776662,25.764503,-80.13137,1.301919071E9,776110,776759
776662,25.764563,-80.13146,1.301919071E9,776110,776759
776662,25.76463,-80.13158,1.301919071E9,776110,776759
776662,25.764677,-80.13168,1.301919071E9,776110,776759
776662,25.764723,-80.13177,1.301919071E9,776110,776759
776662,25.76478,-80.13186,1.301919071E9,776110,776759
776662,25.764826,-80.13196,1.301919071E9,776110,776759
776662,25.764858,-80.13206,1.301919071E9,776110,776759
776662,25.764894,-80.13216,1.301919071E9,776110,776759
776662,25.764935,-80.13224,1.301919071E9,776110,776759
776662,25.764978,-80.132355,1.301919071E9,776110,776759
776662,25.765032,-80.132454,1.301919071E9,776110,776759
776662,25.765083,-80.13256,1.301919071E9,776110,776759
776662,25.765127,-80.13268,1.301919071E9,776110,776759
776662,25.765175,-80.1328,1.301919071E9,776110,776759
776662,25.765228,-80.132904,1.301919071E9,776110,776759
776662,25.765278,-80.132996,1.301919071E9,776110,776759
776662,25.765322,-80.1331,1.301919071E9,776110,776759
776662,25.765366,-80.1332,1.301919071E9,776110,776759
776662,25.76541,-80.13332,1.301919071E9,776110,776759
776662,25.765469,-80.13343,1.301919071E9,776110,776759
776662,25.765518,-80.13355,1.301919071E9,776110,776759
776662,25.765543,-80.13365,1.301919071E9,776110,776759
776662,25.765585,-80.13378,1.301919071E9,776110,776759
776662,25.765627,-80.13388,1.301919071E9,776110,776759
776662,25.76567,-80.13398,1.301919071E9,776110,776759
776662,25.765724,-80.13406,1.301919071E9,776110,776759
776662,25.765764,-80.13416,1.301919071E9,776110,776759
776662,25.765793,-80.134254,1.301919071E9,776110,776759
776662,25.765831,-80.13436,1.301919071E9,776110,776759
776662,25.765886,-80.134445,1.301919071E9,776110,776759
776662,25.76595,-80.134514,1.301919071E9,776110,776759
776662,25.765995,-80.134605,1.301919071E9,776110,776759
776662,25.766048,-80.13472,1.301919071E9,776110,776759
776662,25.766094,-80.13481,1.301919071E9,776110,776759
776662,25.766144,-80.134926,1.301919071E9,776110,776759
776662,25.766178,-80.13504,1.301919071E9,776110,776759
776662,25.766235,-80.13516,1.301919071E9,776110,776759
776662,25.766277,-80.13528,1.301919071E9,776110,776759
776662,25.766333,-80.13537,1.301919071E9,776110,776759
776662,25.766403,-80.13547,1.301919071E9,776110,776759
776662,25.766443,-80.1356,1.301919071E9,776110,776759
776662,25.766476,-80.135704,1.301919071E9,776110,776759
776662,25.76654,-80.1358,1.301919071E9,776110,776759
776662,25.76663,-80.13582,1.301919071E9,776110,776759
776662,25.766716,-80.13578,1.301919071E9,776110,776759
776662,25.766806,-80.13573,1.301919071E9,776110,776759
776662,25.766806,-80.13573,1.301919071E9,776110,776759
776662,25.822676,-80.35723,1.301919071E9,776110,776759
776662,25.822603,-80.3574,1.301919071E9,776110,776759
776662,25.822666,-80.3575,1.301919071E9,776110,776759
776662,25.822657,-80.35753,1.301919071E9,776110
