4105,2.329274,1.301919071E9,776110,776759
776662,48.862183,2.328756,1.301919071E9,776110,776759
776662,48.86207,2.328683,1.301919071E9,776110,776759
776662,48.861977,2.32863,1.301919071E9,776110,776759
776662,48.86188,2.328573,1.301919071E9,776110,776759
776662,48.861797,2.328653,1.301919071E9,776110,776759
776662,48.861748,2.328783,1.301919071E9,776110,776759
776662,48.86168,2.328907,1.301919071E9,776110,776759
776662,48.86163,2.329056,1.301919071E9,776110,776759
776662,48.861584,2.329177,1.301919071E9,776110,776759
776662,48.861538,2.329336,1.301919071E9,776110,776759
776662,48.861496,2.329492,1.301919071E9,776110,776759
776662,48.861458,2.329617,1.301919071E9,776110,776759
776662,48.86141,2.329769,1.301919071E9,776110,776759
776662,48.861362,2.329928,1.301919071E9,776110,776759
776662,48.86132,2.330067,1.301919071E9,776110,776759
776662,48.86124,2.330152,1.301919071E9,776110,776759
776662,48.861137,2.330111,1.301919071E9,776110,776759
776662,48.861053,2.330046,1.301919071E9,776110,776759
776662,48.86096,2.329997,1.301919071E9,776110,776759
776662,48.860867,2.33,1.301919071E9,776110,776759
776662,48.860775,2.330029,1.301919071E9,776110,776759
776662,48.860683,2.33011,1.301919071E9,776110,776759
776662,48.860588,2.33019,1.301919071E9,776110,776759
776662,48.860504,2.33013,1.301919071E9,776110,776759
776662,48.86042,2.330038,1.301919071E9,776110,776759
776662,48.860332,2.329962,1.301919071E9,776110,776759
776662,48.860245,2.329904,1.301919071E9,776110,776759
776662,48.86016,2.329853,1.301919071E9,776110,776759
776662,48.86005,2.329778,1.301919071E9,776110,776759
776662,48.859943,2.329693,1.301919071E9,776110,776759
776662,48.859856,2.329605,1.301919071E9,776110,776759
776662,48.85977,2.329535,1.301919071E9,776110,776759
776662,48.859684,2.329485,1.301919071E9,776110,776759
776662,48.859596,2.329441,1.301919071E9,776110,776759
776662,48.85954,2.329483,1.301919071E9,776110,776759
776662,48.859463,2.329383,1.301919071E9,776110,776759
776662,48.85944,2.32935,1.301919071E9,776110,776759
776662,48.859333,2.329288,1.301919071E9,776110,776759
776662,48.859234,2.32924,1.301919071E9,776110,776759
776662,48.85913,2.329219,1.301919071E9,776110,776759
776662,48.859024,2.329168,1.301919071E9,776110,776759
776662,48.85891,2.329136,1.301919071E9,776110,776759
776662,48.858833,2.329056,1.301919071E9,776110,776759
776662,48.85874,2.328989,1.301919071E9,776110,776759
776662,48.858646,2.32895,1.301919071E9,776110,776759
776662,48.85856,2.32893,1.301919071E9,776110,776759
776662,48.858486,2.328829,1.301919071E9,776110,776759
776662,48.858406,2.32873,1.301919071E9,776110,776759
776662,48.85833,2.32865,1.301919071E9,776110,776759
776662,48.858253,2.32857,1.301919071E9,776110,776759
776662,48.858154,2.328462,1.301919071E9,776110,776759
776662,48.85807,2.328401,1.301919071E9,776110,776759
776662,48.857975,2.328307,1.301919071E9,776110,776759
776662,48.85788,2.32823,1.301919071E9,776110,776759
776662,48.85779,2.328165,1.301919071E9,776110,776759
776662,48.85771,2.328086,1.301919071E9,776110,776759
776662,48.857624,2.328056,1.301919071E9,776110,776759
776662,48.857567,2.327936,1.301919071E9,776110,776759
776662,48.857456,2.327984,1.301919071E9,776110,776759
776662,48.85736,2.327959,1.301919071E9,776110,776759
776662,48.857265,2.327925,1.301919071E9,776110,776759
776662,48.857166,2.327862,1.301919071E9,776110,776759
776662,48.857048,2.327809,1.301919071E9,776110,776759
776662,48.856956,2.327742,1.301919071E9,776110,776759
776662,48.85688,2.327623,1.301919071E9,776110,776759
776662,48.85682,2.327467,1.301919071E9,776110,776759
776662,48.85674,2.327311,1.301919071E9,776110,776759
776662,48.85674,2.327311,1.301919071E9,776110,776759
776662,48.871
