,5.4721274,1.301919071E9,776110,776759
776662,51.412457,5.468632,1.301919071E9,776110,776759
776662,51.41236,5.4684258,1.301919071E9,776110,776759
776662,51.412292,5.468333,1.301919071E9,776110,776759
776662,51.412216,5.468252,1.301919071E9,776110,776759
776662,51.412163,5.4681215,1.301919071E9,776110,776759
776662,51.412075,5.46801,1.301919071E9,776110,776759
776662,51.411964,5.4678783,1.301919071E9,776110,776759
776662,51.41191,5.467769,1.301919071E9,776110,776759
776662,51.411835,5.4676394,1.301919071E9,776110,776759
776662,51.411766,5.467528,1.301919071E9,776110,776759
776662,51.411686,5.46742,1.301919071E9,776110,776759
776662,51.411564,5.467448,1.301919071E9,776110,776759
776662,51.411476,5.4674845,1.301919071E9,776110,776759
776662,51.41138,5.467527,1.301919071E9,776110,776759
776662,51.41127,5.4675994,1.301919071E9,776110,776759
776662,51.411194,5.4676685,1.301919071E9,776110,776759
776662,51.4111,5.467801,1.301919071E9,776110,776759
776662,51.411125,5.4679446,1.301919071E9,776110,776759
776662,51.411053,5.4680214,1.301919071E9,776110,776759
776662,51.410927,5.4680257,1.301919071E9,776110,776759
776662,51.410805,5.467978,1.301919071E9,776110,776759
776662,51.41076,5.4680977,1.301919071E9,776110,776759
776662,51.41076,5.468228,1.301919071E9,776110,776759
776662,51.410667,5.468269,1.301919071E9,776110,776759
776662,51.410637,5.4683943,1.301919071E9,776110,776759
776662,51.410656,5.4685245,1.301919071E9,776110,776759
776662,51.4107,5.4686403,1.301919071E9,776110,776759
776662,51.41076,5.4687557,1.301919071E9,776110,776759
776662,51.410793,5.468888,1.301919071E9,776110,776759
776662,51.410885,5.468984,1.301919071E9,776110,776759
776662,51.410927,5.4691052,1.301919071E9,776110,776759
776662,51.41097,5.4692206,1.301919071E9,776110,776759
776662,51.411015,5.4693346,1.301919071E9,776110,776759
776662,51.41104,5.4694757,1.301919071E9,776110,776759
776662,51.4111,5.469574,1.301919071E9,776110,776759
776662,51.41114,5.469702,1.301919071E9,776110,776759
776662,51.411198,5.469806,1.301919071E9,776110,776759
776662,51.41126,5.469899,1.301919071E9,776110,776759
776662,51.411182,5.469961,1.301919071E9,776110,776759
776662,51.411133,5.470073,1.301919071E9,776110,776759
776662,51.411064,5.470156,1.301919071E9,776110,776759
776662,51.410988,5.470212,1.301919071E9,776110,776759
776662,51.410923,5.470294,1.301919071E9,776110,776759
776662,51.410774,5.4703116,1.301919071E9,776110,776759
776662,51.410755,5.4704456,1.301919071E9,776110,776759
776662,51.410725,5.470574,1.301919071E9,776110,776759
776662,51.410664,5.4706745,1.301919071E9,776110,776759
776662,51.410583,5.47073,1.301919071E9,776110,776759
