776662,-33.427956,-70.61737,1.301919071E9,776110,776759
776662,-33.42804,-70.61743,1.301919071E9,776110,776759
776662,-33.428078,-70.61753,1.301919071E9,776110,776759
776662,-33.4281,-70.61738,1.301919071E9,776110,776759
776662,-33.428192,-70.6174,1.301919071E9,776110,776759
776662,-33.42821,-70.617516,1.301919071E9,776110,776759
776662,-33.42823,-70.617615,1.301919071E9,776110,776759
776662,-33.428307,-70.6177,1.301919071E9,776110,776759
776662,-33.428406,-70.61766,1.301919071E9,776110,776759
776662,-33.4285,-70.617676,1.301919071E9,776110,776759
776662,-33.428585,-70.61773,1.301919071E9,776110,776759
776662,-33.42863,-70.61782,1.301919071E9,776110,776759
776662,-33.428677,-70.61792,1.301919071E9,776110,776759
776662,-33.428722,-70.61803,1.301919071E9,776110,776759
776662,-33.428783,-70.618126,1.301919071E9,776110,776759
776662,-33.428837,-70.61822,1.301919071E9,776110,776759
776662,-33.428917,-70.618286,1.301919071E9,776110,776759
776662,-33.42896,-70.618385,1.301919071E9,776110,776759
776662,-33.42891,-70.6185,1.301919071E9,776110,776759
776662,-33.428856,-70.61864,1.301919071E9,776110,776759
776662,-33.42883,-70.61874,1.301919071E9,776110,776759
776662,-33.42898,-70.6188,1.301919071E9,776110,776759
776662,-33.429073,-70.61879,1.301919071E9,776110,776759
776662,-33.429184,-70.6188,1.301919071E9,776110,776759
776662,-33.429253,-70.61887,1.301919071E9,776110,776759
776662,-33.42931,-70.61896,1.301919071E9,776110,776759
776662,-33.42939,-70.61901,1.301919071E9,776110,776759
776662,-33.429462,-70.6191,1.301919071E9,776110,776759
776662,-33.429504,-70.619225,1.301919071E9,776110,776759
776662,-33.429558,-70.619316,1.301919071E9,776110,776759
776662,-33.429554,-70.61943,1.301919071E9,776110,776759
776662,-33.429626,-70.61951,1.301919071E9,776110,776759
776662,-33.429672,-70.6196,1.301919071E9,776110,776759
776662,-33.429703,-70.619705,1.301919071E9,776110,776759
776662,-33.429676,-70.61982,1.301919071E9,776110,776759
776662,-33.4297,-70.61994,1.301919071E9,776110,776759
776662,-33.429783,-70.620026,1.301919071E9,776110,776759
776662,-33.429832,-70.62013,1.301919071E9,776110,776759
776662,-33.42987,-70.62023,1.301919071E9,776110,776759
776662,-33.42986,-70.620346,1.301919071E9,776110,776759
776662,-33.42985,-70.62046,1.301919071E9,776110,776759
776662,-33.429882,-70.62057,1.301919071E9,776110,776759
776662,-33.429832,-70.62069,1.301919071E9,776110,776759
776662,-33.429813,-70.6208,1.301919071E9,776110,776759
776662,-33.42987,-70.62088,1.301919071E9,776110,776759
776662,-33.42986,-70.620995,1.301919071
